Description,Start date,Start time,End date,End time,Duration
Attended first class lecture for CIS 467,8/25/2014,16:30:00,8/25/2014,17:30:00,1:00:00
Generated project ideas and emailed to Professor (I am unsure of the actual timing on this).,8/26/2014,14:00:00,8/26/2014,15:00:00,1:00:00
Reviewed project ideas and voted on my favorite projects (I am unsure of the actual timing on this).,8/26/2014,22:00:00,8/26/2014,23:59:00,1:59:00
Attended class and then met with team to discuss project.,8/27/2014,16:30:00,8/27/2014,17:20:00,0:50:00
"Met with team to introduce ourselves, discuss project ideas, and determine goals for our semester project.",8/29/2014,15:00:00,8/29/2014,17:00:00,2:00:00
Research creating a team GitHub,9/3/2014,16:10:00,9/3/2014,16:16:47,0:06:47
Attended class lecture on Git,9/3/2014,16:30:00,9/3/2014,17:10:00,0:40:00
"Researched Slack program for communication, created account, and read messages.",9/3/2014,17:25:00,9/3/2014,17:57:02,0:32:02
"Researched Trello, created an account, and added todos to our team board. I also setup a team GitHub account and repo, and integrated git with Slack.",9/4/2014,11:56:10,9/4/2014,14:20:00,2:23:50
"Sent emails and responded to messages for various project related subjects (I did not keep track of how much time I spent doing all of this the first two weeks or on which days, so this is just a placeholder to state that I did these things).",9/4/2014,15:00:00,9/4/2014,16:30:00,1:30:00
Met with team to discuss prospectus and ideas for game.,9/5/2014,15:00:00,9/5/2014,17:30:00,2:30:00
"Worked on my section of the prospectus, mostly the areas of technical innovation.",9/6/2014,17:10:00,9/6/2014,18:32:56,1:22:56
Worked on my Icebreaker and sent message to group.,9/7/2014,22:57:00,9/8/2014,0:31:06,1:33:26
Updating my Journal with time entries that I had forgotten to enter and modified descriptions of old time entries.  Also added the journal entry to Git.,9/8/2014,0:40:00,9/8/2014,1:45:00,1:05:00
Total Time on Project,8/25/2014,,09/08/2014,,18:18:00
