Description,Date,Start,Stop,Duration
Lecture: reviewed course syllabus and requirements,08/25/2014,16:30,17:45,01:15
Brainstormed possible projects with some classmates,08/25/2014,17:45,20:00,02:15
Review project ideas; emailed project votes,08/27/2014,01:00,04:00,03:00
Read Software Engineering Code of Ethics,08/27/2014,11:40,12:25,00:45
Lecture and project discussion,08/27/2014,16:30,17:20,00:50
Team meeting: discussed game ideas and roles,08/29/2014,15:00,17:00,02:00
Evaluate various game designs (top down? sprites? per pixel collision?),08/30/2014,13:00,16:00,03:00
Research fluid/gas simulation methodologies: mesh vs particle based,08/30/2014,17:00,22:30,05:30
Research Voronoi continuum physics idea [basic concepts],08/31/2014,13:00,17:15,04:15
Research Voronoi continuum physics idea [memory requirements],08/31/2014,22:15,04:30,06:15
Research Voronoi continuum physics idea [solids: resisting sheer forces],09/01/2014,17:12,22:48,05:36
"Team meeting: discuss prospectus and clarify game design (sprite based, no physics, simple collision)",09/05/2014,15:00,17:30,02:30
Team meeting: discuss prospectus presentation and ethics section,09/08/2014,16:00,18:00,02:00
Updated prospectus: wrote game development section and edited other sections,09/09/2014,04:00,08:00,04:00
Corresponded with Steven about prospectus,09/09/2014,17:32,18:12,00:40
Wrote/posted icebreaker,09/10/2014,01:30,03:00,01:30
Lecture: heard feasibility study presentations,09/15/2014,16:30,17:45,01:15
Lecture: gave feasibility study presentation ,09/17/2014,16:30,17:20,00:50
"Read through SDL 2 documentation, wrote simple test program",09/25/2014,16:00,00:00,08:00
Engine group meeting,09/26/2014,13:00,15:00,02:00
Team meeting,09/26/2014,15:00,17:00,02:00
Worked on engine: image loading,09/27/2014,21:30,01:30,04:00
"Worked on image handling, panning, pixelation, bitmap font",09/27/2014,12:00,06:00,18:00
Finished graphics prototype 1: basic pixelation and keyboard control,09/28/2014,18:38,06:00,11:22
"Added collision detection, new resampling algorithm, alpha blending",10/02/2014,20:00,06:00,10:00
Team meeting,10/03/2014,15:00,18:00,03:00
read siggraph'84 paper on image compositing by Thomas Porter and Tom Duff,10/04/2014,18:00,18:42,00:42
"finished prototype 2: rewrote gfx routines for speed, clipping, switched to premultiplied alpha, C++ stuff",10/05/2014,15:11,04:42,13:31
"Update files on GitHub, journal, and sprint report",10/06/2014,04:42,05:12,00:30
Presentation 1,10/06/2014,16:30,17:00,00:30
Team meeting,10/10/2014,15:00,17:00,02:00
Worked on graphics engine: rotation and triangles,10/10/2014,18:00,23:00,05:00
Worked on graphics engine: rotation and triangles,10/11/2014,15:00,20:32,05:32
Helped Steven write API documentation,10/13/2014,17:00,18:30,01:30
Team meeting,10/17/2014,15:00,17:00,02:00
Debugged some graphics compatibility issues with Steven,10/17/2014,19:30,00:30,05:00
Wrote some graphics interoperability code,10/18/2014,00:30,04:30,04:00
Team meeting,10/24/2014,15:00,17:00,02:00
Tweaked game engine: collision detection,10/29/2014,16:00,16:30,00:30
Presentation 2,10/29/2014,16:30,17:00,00:30
Team meeting,10/31/2014,15:00,17:00,02:00
Team meeting,11/07/2014,15:00,17:00,02:00
Restructure graphics engine,11/13/2014,18:00,22:00,04:00
Add more scaling routines to graphics engine,11/13/2014,23:30,06:42,07:12
Team meeting,11/14/2014,15:00,17:00,02:00
Integrated graphics engine changes with game engine,11/14/2014,17:00,20:30,03:30
Presentation 3,11/17/2014,17:30,17:48,00:18
Total,,,,170:03
